source,target,type
80,18427,"link"
80,13588,"link"
80,14914,"link"
80,14942,"link"
80,18437,"link"
80,13961,"link"
80,10543,"link"
80,10327,"link"
80,12732,"link"
80,3240,"link"
80,3239,"link"
80,14164,"link"
80,17776,"link"
80,17553,"link"
80,10311,"link"
80,17554,"link"
80,13177,"link"
80,7911,"link"
80,13178,"link"
80,2963,"link"
80,6204,"link"
80,2962,"link"
80,18514,"link"
80,7094,"link"
80,16771,"link"
80,16772,"link"
80,12711,"link"
80,12712,"link"
80,18512,"link"
80,18513,"link"
80,13053,"link"
80,15424,"link"
80,13054,"link"
80,17391,"link"
80,17089,"link"
80,17726,"link"
80,18510,"link"
80,18511,"link"
80,17849,"link"
80,2959,"link"
80,2958,"link"
80,15144,"link"
80,3728,"link"
80,3727,"link"
80,13267,"link"
80,17729,"link"
80,13268,"link"
80,17086,"link"
80,14357,"link"
80,17087,"link"
80,17088,"link"
80,17109,"link"
80,17110,"link"
80,16793,"link"
80,4637,"link"
80,2767,"link"
80,17926,"link"
80,17917,"link"
80,14410,"link"
80,17115,"link"
80,14915,"link"
80,17758,"link"
80,14879,"link"
80,11105,"link"
80,14902,"link"
80,13937,"link"
80,14897,"link"
80,17106,"link"
80,17107,"link"
80,17108,"link"
80,17103,"link"
80,17104,"link"
80,4617,"link"
80,17105,"link"
80,17083,"link"
80,2762,"link"
80,17084,"link"
80,6238,"link"
81,3714,"link"
81,17900,"link"
81,17895,"link"
81,17878,"link"
81,13378,"link"
81,15766,"link"
81,17085,"link"
81,17113,"link"
81,17114,"link"
81,17082,"link"
81,13381,"link"
81,13383,"link"
81,13382,"link"
82,6790,"link"
82,17406,"link"
82,18515,"link"
82,9690,"link"
82,9694,"link"
83,6232,"link"
84,6790,"link"
84,6228,"link"
84,6232,"link"
84,6233,"link"
84,3052,"link"
84,3062,"link"
84,14185,"link"
84,6234,"link"
84,6236,"link"
84,6238,"link"
86,8619,"link"
86,8616,"link"
86,8653,"link"
86,7138,"link"
86,7140,"link"
86,4616,"link"
86,17914,"link"
86,4605,"link"
86,17918,"link"
86,14608,"link"
86,17705,"link"
86,17380,"link"
86,16826,"link"
86,16596,"link"
86,16586,"link"
86,16766,"link"
86,17377,"link"
86,17379,"link"
86,17928,"link"
86,15473,"link"
86,16038,"link"
86,16809,"link"
86,17640,"link"
86,17479,"link"
86,12912,"link"
86,12877,"link"
86,17471,"link"
86,17630,"link"
86,17675,"link"
86,17654,"link"
86,17652,"link"
86,17642,"link"
86,14204,"link"
86,17641,"link"
86,14202,"link"
86,14220,"link"
86,14200,"link"
86,14190,"link"
86,14194,"link"
86,14192,"link"
86,14219,"link"
86,14197,"link"
86,15857,"link"
86,15861,"link"
86,15876,"link"
86,15853,"link"
86,15883,"link"
86,15895,"link"
86,15887,"link"
86,15877,"link"
86,15880,"link"
86,17807,"link"
86,17805,"link"
86,17793,"link"
86,15843,"link"
86,17809,"link"
86,17802,"link"
86,17957,"link"
86,17817,"link"
86,17960,"link"
86,17952,"link"
86,17782,"link"
86,17816,"link"
86,17955,"link"
86,17981,"link"
86,17956,"link"
86,17790,"link"
86,17966,"link"
86,17963,"link"
86,17864,"link"
86,17944,"link"
86,17798,"link"
86,17953,"link"
86,17799,"link"
86,17954,"link"
86,17884,"link"
86,17883,"link"
86,17854,"link"
86,17847,"link"
86,18017,"link"
86,17993,"link"
86,17852,"link"
86,17849,"link"
86,17994,"link"
86,18076,"link"
86,18059,"link"
86,18055,"link"
86,18011,"link"
86,18026,"link"
86,18007,"link"
86,18004,"link"
86,18001,"link"
86,18052,"link"
86,15198,"link"
86,15196,"link"
86,15193,"link"
86,15191,"link"
86,15188,"link"
86,15186,"link"
86,17650,"link"
86,17885,"link"
86,17857,"link"
86,15167,"link"
86,15179,"link"
86,15165,"link"
86,15159,"link"
86,15183,"link"
86,15158,"link"
86,15160,"link"
86,15153,"link"
86,15155,"link"
86,15150,"link"
86,15147,"link"
86,15142,"link"
86,15181,"link"
86,15131,"link"
86,15177,"link"
86,15136,"link"
86,15134,"link"
86,17845,"link"
86,17841,"link"
86,17843,"link"
86,15175,"link"
86,17838,"link"
86,17834,"link"
86,17818,"link"
86,17836,"link"
86,17826,"link"
86,17832,"link"
86,17823,"link"
86,17812,"link"
86,17820,"link"
86,18145,"link"
86,18147,"link"
86,18142,"link"
86,15162,"link"
86,18139,"link"
86,15144,"link"
86,18165,"link"
86,18167,"link"
86,16885,"link"
86,16886,"link"
86,16879,"link"
86,16889,"link"
86,16874,"link"
86,16898,"link"
86,16890,"link"
86,15140,"link"
86,16894,"link"
86,5106,"link"
86,16892,"link"
86,16864,"link"
86,16895,"link"
86,16897,"link"
86,14489,"link"
86,16134,"link"
86,18269,"link"
86,15684,"link"
86,16140,"link"
86,16136,"link"
86,15686,"link"
86,18286,"link"
86,16130,"link"
86,16125,"link"
86,2768,"link"
86,18284,"link"
86,14842,"link"
86,18281,"link"
86,14859,"link"
86,14640,"link"
86,14638,"link"
86,14632,"link"
86,15056,"link"
86,15024,"link"
86,14629,"link"
86,15022,"link"
86,15055,"link"
86,14986,"link"
86,15018,"link"
86,18196,"link"
86,12859,"link"
86,13637,"link"
86,15007,"link"
86,14989,"link"
86,13211,"link"
86,17906,"link"
86,15019,"link"
86,14991,"link"
86,15349,"link"
86,15011,"link"
86,15350,"link"
86,15329,"link"
86,18120,"link"
86,18237,"link"
86,18096,"link"
86,18097,"link"
86,15336,"link"
86,18238,"link"
86,18270,"link"
86,18219,"link"
86,12894,"link"
86,18199,"link"
86,15435,"link"
86,12862,"link"
86,18236,"link"
86,12854,"link"
86,12847,"link"
86,12843,"link"
86,18267,"link"
86,12817,"link"
86,14790,"link"
86,15406,"link"
86,14635,"link"
86,15424,"link"
86,15427,"link"
86,15000,"link"
86,15430,"link"
86,15433,"link"
86,14381,"link"
86,14368,"link"
86,14385,"link"
86,14370,"link"
86,14363,"link"
86,14362,"link"
86,14377,"link"
86,14866,"link"
86,15735,"link"
86,14376,"link"
86,14347,"link"
86,14357,"link"
86,14351,"link"
86,14353,"link"
86,14355,"link"
86,14359,"link"
86,14369,"link"
86,14366,"link"
86,14787,"link"
86,14792,"link"
86,14774,"link"
86,14798,"link"
86,14796,"link"
86,14800,"link"
86,14802,"link"
86,15403,"link"
86,15400,"link"
86,15409,"link"
86,15412,"link"
86,15414,"link"
86,15439,"link"
86,15209,"link"
86,15211,"link"
86,15204,"link"
86,15215,"link"
86,15218,"link"
86,15208,"link"
86,15207,"link"
86,15242,"link"
86,15244,"link"
86,15247,"link"
86,14375,"link"
86,14372,"link"
86,14367,"link"
86,14411,"link"
86,14409,"link"
86,14398,"link"
86,14410,"link"
